"text","cmp_code","eu_code"
"Nearly a half century later, we stand at another pivotal point in history.","107",NA
"The collapse of communism does not mean the end of danger or threats to our interests.","107",NA
"But it does pose an unprecedented opportunity to make our future more secure and prosperous.","107",NA
"Once again, we must define a compelling vision for global leadership at the dawn of a new era.","107",NA
"Restructuring Our Military Forces.",NA,NA
"We have not seen the end of violence, aggression and the conflicts that can threaten American interests and our hopes for a more peaceful world.","104",NA
"What the United States needs is not the Bush Administration's Cold War thinking on a smaller scale, but a comprehensive restructuring of the American military enterprise to meet the threats that remain.","104",NA
"Military Strength.",NA,NA
"America is the world's strongest military power and we must remain so.","104",NA
"A post-Cold War restructuring of American forces will produce substantial savings beyond those promised by the Bush Administration, but that restructuring must be achieved without undermining our ability to meet future threats to our security.","104",NA
"A military structure for the 1990's and beyond must be built on four pillars: First, a survivable nuclear force to deter any conceivable threat, as we reduce our nuclear arsenals through arms control negotiations and other reciprocal action.","104",NA
"Second, conventional forces shifted toward projecting power wherever our vital national interests are threatened.","104",NA
"This means reducing the size of our forces in Europe, while meeting our obligations to NATO,","104",NA
"and strengthening our rapid deployment capabilities to deal with new threats to our security posed by renegade dictators, terrorists, international drug traffickers, and the local armed conflicts that can threaten the peace of entire regions.","104",NA
"Third, maintenance of the two qualities that make America's military the best in the world -- the superiority of our military personnel and of our technology.","104",NA
"These qualities are vital to shortening any conflict and saving American lives.","104",NA
"Fourth, intelligence capabilities redirected to develop far more sophisticated, timely and accurate analyses of the economic and political conditions that can fuel new conflicts.","104",NA
"Use Of Force.",NA,NA
"The United States must be prepared to use military force decisively when necessary to defend our vital interests.","104",NA
"The burdens of collective security in a new era must be shared fairly, and we should encourage multilateral peacekeeping through the United Nations and other international efforts.","107",NA
"Preventing And Containing Conflict.",NA,NA
"American policy must be focused on averting military threats as well as meeting them.","107",NA
"To halt the spread of nuclear and other weapons of mass destruction, we must lead a renewed international effort to get tough with companies that peddle nuclear and chemical warfare technologies, strengthen the International Atomic Energy Agency, and enforce strong sanctions against governments that violate international restraints.","107",NA
"A Comprehensive Test Ban would strengthen our ability to stop the spread of nuclear weapons to other countries, which may be our greatest future security threat.","107",NA
"We must press for strong international limits on the dangerous and wasteful flow of conventional arms to troubled regions.","107",NA
"A U.S. troop presence should be maintained in South K rea as long as North Korea presents a threat to South Korea.","104",NA
"Restoring America's Economic Leadership",NA,NA
"The United States cannot be strong abroad if it is weak at home.","408",NA
"Restoring America's global economic leadership must become a central element of our national security policies.","408",NA
"The strength of nations, once defined in military terms, now is measured also by the skills of their workers, the imagination of their managers and the power of their technologies.","408",NA
"Either we develop and pursue a national plan for restoring our economy through a partnership of government, labor and business, or we slip behind the nations that are competing with us and growing.","404",NA
"At stake are American jobs, our standard of living and the quality of life for ourselves and our children.","408",NA
"Economic strength -- indeed our national security -- is grounded on a healthy domestic economy.","410",NA
"But we cannot be strong at home unless we are part of a vibrant and expanding global economy that recognizes human rights and seeks to improve the living standards of all the world's people.","410",NA
"This is vital to achieving good quality, high paying jobs for Americans.","408",NA
"Trade.",NA,NA
"Our government must work to expand trade, while insisting that the conduct of world trade is fair.","408",NA
"It must fight to uphold American interests -- promoting exports, expanding trade in agricultural and other products, opening markets in major product and service sectors with our principal competitors, and achieving reciprocal access.","410",NA
"This should include renewed authority to use America's trading leverage against the most serious problems.","408",NA
"The U.S. government also must firmly enforce U.S. laws against unfair trade.","406",NA
"Trade Agreements.",NA,NA
"Multilateral trade agreements can advance our economic interests by expanding the global economy.","410",NA
"Whether negotiating the North American Free Trade Area (NAFTA) or completing the GATT negotiations, our government must assure that our legitimate concerns about environmental, health and safety, and labor standards are included.","107",NA
"Those American workers whose jobs are affected must have the benefit of effective adjustment assistance.","701",NA
"Promoting Democracy",NA,NA
"Brave men and women -- like the hero who stood in front of a tank in Beijing and the leader who stood on a tank in Moscow - are putting their lives on the line for democracy around the world.","202",NA
"But as the tide of democracy rose in the former Soviet Union and in China, in the Baltics and South Africa, only reluctantly did this Administration abandon the status quo and embrace the fight for freedom.","202",NA
"Support for democracy serves our ideals and our interests.","202",NA
"A more democratic world is a world that is more peaceful and more stable.","202",NA
"An American foreign policy of engagement for democracy must effectively address:","202",NA
"Emerging Democracies.",NA,NA
"Helping to lead an international effort to assist the emerging - and still fragile - democracies in Eastern Europe and the former Soviet Union build democratic institutions in free market settings, demilitarize their societies and integrate their econ mies into the world trading system.","107",NA
"Unlike the Bush Administration, which waited too long to recognize the new democratic governments in the Baltic countries and the nations of the former Soviet Union, we must act decisively with our European allies to support freedom, diminish ethnic tensions, and oppose aggression in the former communist countries, such as Bosnia-Herzegovina, which are struggling to make the transition from communism to democracy.","201",NA
"As change sweeps through the Balkans, the United States must be sensitive to the concerns of Greece regarding the use of the name Macedonia.","107",NA
"And in the post-Cold War era, our foreign assistance programs in Africa, the Caribbean, Latin America and elsewhere should be targeted at helping democracies rather than tyrants.","107",NA
"Democracy Corps.",NA,NA
"Promoting democratic institutions by creating a Democracy Corps to send American volunteers to countries that seek legal, financial and political expertise to build democratic institutions, and support groups like the National Endowment for Democracy, the Asia Foundation, and others.","202",NA
"China Trade Terms.",NA,NA
"Conditioning of favorable trade terms for China on respect for human rights in China and Tibet, greater market access for U.S. goods, and responsible conduct on weapons proliferation.","107",NA
"South Africa.",NA,NA
"Maintenance of state and local sanctions against South Africa in support of an investment code of conduct, existing limits on deductibility of taxes paid to South Africa, and diplomatic pressure until there is an irreversible, full and fair accommodation with the black majority to create a democratic government with full rights for all its citizens.","107",NA
"We deplore the continuing violence, especially in Boipatong Township, and are concerned about the collapse of the negotiations.","107",NA
"The U.S. Government should consider reimposing Federal sanctions.","107",NA
"The Democratic Party supports the creation of a South African/American Enterprise Fund that will provide a new interim government with public and private funds to assist in the development of democracy in South Africa.","107",NA
"Middle East Peace.",NA,NA
"Support for the peace process now underway in the Middle East, rooted in the tradition of the Camp David accords.","106",NA
"Direct negotiations between Israel, her Arab neighbors and Palestinians, with no imposed solutions, are the only way to achieve enduring security for Israel and full peace for all parties in the region.","106",NA
"The end of the Cold War does not alter America's deep interest in our longstanding special relationship with Israel, based on shared values, a mutual commitment to democracy, and a strategic alliance that benefits both nations.","101",NA
"The United States must act effectively as an honest broker in the peace process.","106",NA
"It must not, as has been the case with this Administration, encourage one side to believe that it will deliver unilateral concessions from the other.","107",NA
"Jerusalem is the capital of the state of Israel and should remain an undivided city accessible to people of all faiths.","107",NA
"Human Rights.",NA,NA
"Standing everywhere for the rights of individuals and respect for ethnic minorities against the repressive acts of governments - against torture, political imprisonment, and all attacks on civilized standards of human freedom.","201",NA
"This is a proud tradition of the Democratic Party, which has stood for freedom in South Africa and continues to resist oppression in Cuba.","201",NA
"Our nation should once again promote the principle of sanctuary for politically oppressed people everywhere, be they Haitian refugees, Soviet Jews seeking U.S. help in their successful absorption into Israeli society, or Vietnamese fleeing communism.","201",NA
"Forcible return of anyone fleeing political repression is a betrayal of American values.","201",NA
"Human Needs.",NA,NA
"Support for the struggle against poverty and disease in the developing world, including the heartbreaking famine in Africa.","107",NA
"We must not replace the East-West conflict with one between North and South, a growing divide between the industrialized and developing world.","107",NA
"Our development programs must be reexamined and restructured to assure that their benefits truly help those most in need to help themselves.","107",NA
"At stake are the lives of millions of human beings who live in hunger, uprooted from their homes, too often without hope.","107",NA
"The United States should work to establish a specific plan and timetable for the elimination of world hunger.","107",NA
"Cyprus.",NA,NA
"A renewed commitment to achieve a Cyprus settlement pursuant to the United Nations resolutions.","107",NA
"This goal must now be restored to the diplomatic agenda of the United States.","107",NA
"Northern Ireland.",NA,NA
"In light of America's historic ties to the people of Great Britain and Ireland, and consistent with our country's commitment to peace, democracy and human rights around the world, a more active United States role in promoting peace and political dialogue to bring an end to the violence and achieve a negotiated solution in Northern Ireland.","106",NA
"Preserving The Global Environment",NA,NA
"As the threat of nuclear holocaust recedes, the future of the earth is challenged by gathering environmental crises.","501",NA
"As governments around the world have sought the path to concerted action, the Bush Administration -- despite its alleged foreign policy expertise -- has been more of an obstacle to progress than a leader for change, practicing isolationism on an issue that affects us all.","305",NA
"Democrats know we must act now to save the health of the earth, and the health of our children, for generations to come.","501",NA
"Addressing Global Warming.",NA,NA
"The United States must become a leader, not an impediment, in the fight against global warming.","501",NA
"We should join our European allies in agreeing to limit carbon dioxide emissions to 1990 levels by the year 2000.","107",NA
"Ozone Depletion.",NA,NA
"The United States must be a world leader in finding replacements for CFCs and other ozone depleting substances.","501",NA
"Biodiversity We must work actively to protect the planet's biodiversity and preserve its forests.","501",NA
"At the Rio Earth Summit, the Bush Administration's failure to negotiate a biodiversity treaty it could sign was an abdication of international leadership.","305",NA
"Developing Nations.",NA,NA
"We must fashion imaginative ways of engaging governments and business in the effort to encourage developing nations to preserve their environmental heritage.","107",NA
"Population Growth.",NA,NA
"Explosive population growth must be controlled by working closely with other industrialized and developing nations and private organizations to fund greater family planning efforts.","107",NA
"As a nation and as a people, we have entered into a new era.","305",NA
"The Republican President and his advisors are rooted in Cold War precepts and cannot think or act anew.","305",NA
"Through almost a half century of sacrifice, constancy and strength, the American people advanced democracy's triumph in the Cold War.","202",NA
"Only new leadership that restores our nation's greatness at home can successfully draw upon these same strengths of the American people to lead the world into a new era of peace and freedom.","305",NA
"In recent years we have seen brave people abroad face down tanks, defy coups, and risk exodus by boat on the high seas for a chance at freedom and the kind of opportunities we call the American Dream.","201",NA
"It is time for Americans to fight against the decline of those same opportunities here at home.","201",NA
"Americans know that, in the end, we will all rise or fall together.","606",NA
"To make our society one again, Democrats will restore America's founding values of family, community and common purpose.","603",NA
"We believe in the American people.","601",NA
"We will challenge all Americans to give something back to their country.","601",NA
"And they will be enriched in return, for when individuals assume responsibility, they acquire dignity.","601",NA
"When people go to work, they rediscover a pride that was lost.","603",NA
"When absent parents pay child support, they restore a connection they and their children need.","603",NA
"When students work harder, they discover they can learn as well as any on earth.","603",NA
"When corporate managers put their workers and long-term success ahead of short-term gain, their companies do well and so do they.","603",NA
"When the leaders we elect assume responsibility for America's problems, we will do what is right to move America forward together.","601",NA
