token	tag
Rumours	NNS
of	IN
a	DT
wonderful	JJ
farm,	NN
where	WRB
the	DT
human	JJ
beings	NNS
had	VBD
been	VBN
turned	VBN
out	RP
and	CC
the	DT
animals	NNS
managed	VBD
their	PRP$
own	JJ
affairs,	NN
continued	VBD
to	TO
circulate	VB
in	IN
vague	JJ
and	CC
distorted	JJ
forms,	NN
and	CC
throughout	IN
that	DT
year	NN
a	DT
wave	NN
of	IN
rebelliousness	NN
ran	VBD
through	IN
the	DT
countryside.	NN
Bulls	NNS
which	WDT
had	VBD
always	RB
been	VBN
tractable	JJ
suddenly	RB
turned	VBN
savage,	JJ
sheep	NN
broke	VBD
down	RP
hedges	NNS
and	CC
devoured	VBD
the	DT
clover,	JJ
cows	NNS
kicked	VBD
the	DT
pail	NN
over,	JJ
hunters	NNS
refused	VBD
their	PRP$
fences	NNS
and	CC
shot	VBD
their	PRP$
riders	NNS
on	RP
to	IN
the	DT
other	JJ
side.	NN
Above	IN
all,	RB
the	DT
tune	NN
and	CC
even	RB
the	DT
words	NNS
of	IN
'Beasts	NNS
of	IN
England'	NNP
were	VBD
known	VBN
everywhere.	RB
It	PRP
had	VBD
spread	VBN
with	IN
astonishing	JJ
speed.	NN
The	DT
human	JJ
beings	NNS
could	MD
not	RB
contain	VB
their	PRP$
rage	NN
when	WRB
they	PRP
heard	VBD
this	DT
song,	NN
though	IN
they	PRP
pretended	VBD
to	TO
think	VB
it	PRP
merely	RB
ridiculous.	JJ
They	PRP
could	MD
not	RB
understand,	VB
they	PRP
said,	VBD
how	WRB
even	RB
animals	NNS
could	MD
bring	VB
themselves	PRP
to	TO
sing	VB
such	JJ
contemptible	JJ
rubbish.	NN
Any	DT
animal	NN
caught	VBD
singing	VBG
it	PRP
was	VBD
given	VBN
a	DT
flogging	NN
on	IN
the	DT
spot.	NN
And	CC
yet	RB
the	DT
song	NN
was	VBD
irrepressible.	JJ
The	DT
blackbirds	NNS
whistled	VBD
it	PRP
in	IN
the	DT
hedges,	NN
the	DT
pigeons	NNS
cooed	VBD
it	PRP
in	IN
the	DT
elms,	NN
it	PRP
got	VBD
into	IN
the	DT
din	NN
of	IN
the	DT
smithies	NNS
and	CC
the	DT
tune	NN
of	IN
the	DT
church	NN
bells.	NN
And	CC
when	WRB
the	DT
human	JJ
beings	NNS
listened	VBD
to	IN
it,	,
they	PRP
secretly	RB
trembled,	VBD
hearing	VBG
in	IN
it	PRP
a	DT
prophecy	NN
of	IN
their	PRP$
future	JJ
doom.	NN
Early	RB
in	IN
October,	NNP
when	WRB
the	DT
corn	NN
was	VBD
cut	VBN
and	CC
stacked	VBN
and	CC
some	DT
of	IN
it	PRP
was	VBD
already	RB
threshed,	VBN
a	DT
flight	NN
of	IN
pigeons	NNS
came	VBD
whirling	VBG
through	IN
the	DT
air	NN
and	CC
alighted	VBN
in	IN
the	DT
yard	NN
of	IN
Animal	NNP
Farm	NNP
in	IN
the	DT
wildest	JJS
excitement.	NN
Jones	NNP
and	CC
all	DT
his	PRP$
men,	NN
with	IN
half	PDT
a	DT
dozen	NN
others	NNS
from	IN
Foxwood	NNP
and	CC
Pinchfield,	NNP
had	VBD
entered	VBN
the	DT
five-barred	JJ
gate	NN
and	CC
were	VBD
coming	VBG
up	IN
the	DT
cart-track	NN
that	WDT
led	VBD
to	IN
the	DT
farm.	NN
They	PRP
were	VBD
all	DT
carrying	VBG
sticks,	NN
except	IN
Jones,	NNP
who	WP
was	VBD
marching	VBG
ahead	RB
with	IN
a	DT
gun	NN
in	IN
his	PRP$
hands.	NN
Obviously	RB
they	PRP
were	VBD
going	VBG
to	TO
attempt	VB
the	DT
recapture	NN
of	IN
the	DT
farm.	NN
This	DT
had	VBD
long	RB
been	VBN
expected,	VBN
and	CC
all	DT
preparations	NNS
had	VBD
been	VBN
made.	VBN
Snowball,	NNP
who	WP
had	VBD
studied	VBN
an	DT
old	JJ
book	NN
of	IN
Julius	NNP
Caesar's	NNP
campaigns	NNS
which	WDT
he	PRP
had	VBD
found	VBN
in	IN
the	DT
farmhouse,	NN
was	VBD
in	IN
charge	NN
of	IN
the	DT
defensive	JJ
operations.	NN
He	PRP
gave	VBD
his	PRP$
orders	NNS
quickly,	RB
and	CC
in	IN
a	DT
couple	NN
of	IN
minutes	NNS
every	DT
animal	NN
was	VBD
at	IN
his	PRP$
post.	NN
As	IN
the	DT
human	JJ
beings	NNS
approached	VBD
the	DT
farm	NN
buildings,	NN
Snowball	NNP
launched	VBD
his	PRP$
first	JJ
attack.	NN
All	PDT
the	DT
pigeons,	NN
to	IN
the	DT
number	NN
of	IN
thirty-five,	CD
flew	VBD
to	IN
and	CC
fro	RB
over	IN
the	DT
men's	NNS
heads	NNS
and	CC
muted	VBD
upon	IN
them	PRP
from	IN
mid-air;	JJ
and	CC
while	IN
the	DT
men	NNS
were	VBD
dealing	VBG
with	IN
this,	DT
the	DT
geese,	NNS
who	WP
had	VBD
been	VBN
hiding	VBG
behind	IN
the	DT
hedge,	NN
rushed	VBD
out	RB
and	CC
pecked	VBD
viciously	RB
at	IN
the	DT
calves	NNS
of	IN
their	PRP$
legs.	NN
However,	RB
this	DT
was	VBD
only	RB
a	DT
light	JJ
skirmishing	NN
manoeuvre,	NN
intended	VBN
to	TO
create	VB
a	DT
little	JJ
disorder,	NN
and	CC
the	DT
men	NNS
easily	RB
drove	VBD
the	DT
geese	NNS
off	RP
with	IN
their	PRP$
sticks.	NN
Snowball	NNP
now	RB
launched	VBD
his	PRP$
second	JJ
line	NN
of	IN
attack.	NN
Muriel,	NNP
Benjamin,	NNP
and	CC
all	PDT
the	DT
sheep,	NN
with	IN
Snowball	NNP
at	IN
the	DT
head	NN
of	IN
them,	NN
rushed	VBD
forward	RB
and	CC
prodded	VBD
and	CC
butted	VBD
the	DT
men	NNS
from	IN
every	DT
side,	NN
while	IN
Benjamin	NNP
turned	VBD
around	RB
and	CC
lashed	VBD
at	IN
them	PRP
with	IN
his	PRP$
small	JJ
hoofs.	NN
But	CC
once	RB
again	RB
the	DT
men,	NN
with	IN
their	PRP$
sticks	NNS
and	CC
their	PRP$
hobnailed	JJ
boots,	NN
were	VBD
too	RB
strong	JJ
for	IN
them;	DT
and	CC
suddenly,	JJ
at	IN
a	DT
squeal	NN
from	IN
Snowball,	NNP
which	WDT
was	VBD
the	DT
signal	NN
for	IN
retreat,	NN
all	PDT
the	DT
animals	NNS
turned	VBD
and	CC
fled	VBD
through	IN
the	DT
gateway	NN
into	IN
the	DT
yard.	NN
The	DT
men	NNS
gave	VBD
a	DT
shout	NN
of	IN
triumph.	NN
They	PRP
saw,	VBD
as	IN
they	PRP
imagined,	VBD
their	PRP$
enemies	NNS
in	IN
flight,	NN
and	CC
they	PRP
rushed	VBD
after	IN
them	PRP
in	IN
disorder.	NN
This	DT
was	VBD
just	RB
what	WP
Snowball	NNP
had	VBD
intended.	VBN
As	RB
soon	RB
as	IN
they	PRP
were	VBD
well	RB
inside	IN
the	DT
yard,	NN
the	DT
three	CD
horses,	NN
the	DT
three	CD
cows,	NN
and	CC
the	DT
rest	NN
of	IN
the	DT
pigs,	NN
who	WP
had	VBD
been	VBN
lying	VBG
in	IN
ambush	NN
in	IN
the	DT
cowshed,	NN
suddenly	RB
emerged	VBD
in	IN
their	PRP$
rear,	NN
cutting	VBG
them	PRP
off.	RP
Snowball	NN
now	RB
gave	VBD
the	DT
signal	NN
for	IN
the	DT
charge.	NN
He	PRP
himself	PRP
dashed	VBD
straight	RB
for	IN
Jones.	NNP
Jones	NNP
saw	VBD
him	PRP
coming,	VB
raised	VBD
his	PRP$
gun	NN
and	CC
fired.	VBN
The	DT
pellets	NNS
scored	VBD
bloody	JJ
streaks	NNS
along	IN
Snowball's	NNP
back,	,
and	CC
a	DT
sheep	NN
dropped	VBD
dead.	NN
Without	IN
halting	VBG
for	IN
an	DT
instant,	NN
Snowball	NNP
flung	VBD
his	PRP$
fifteen	CD
stone	NN
against	IN
Jones's	NNP
legs.	.
Jones	NNP
was	VBD
hurled	VBN
into	IN
a	DT
pile	NN
of	IN
dung	NN
and	CC
his	PRP$
gun	NN
flew	VBD
out	IN
of	IN
his	PRP$
hands.	NN
But	CC
the	DT
most	RBS
terrifying	JJ
spectacle	NN
of	IN
all	DT
was	VBD
Boxer,	NNP
rearing	VBG
up	RP
on	IN
his	PRP$
hind	JJ
legs	NNS
and	CC
striking	VBG
out	RP
with	IN
his	PRP$
great	JJ
iron-shod	JJ
hoofs	NNS
like	IN
a	DT
stallion.	NN
His	PRP$
very	RB
first	JJ
blow	NN
took	VBD
a	DT
stable-lad	NN
from	IN
Foxwood	NNP
on	IN
the	DT
skull	NN
and	CC
stretched	VBD
him	PRP
lifeless	JJ
in	IN
the	DT
mud.	NN
At	IN
the	DT
sight,	NN
several	JJ
men	NNS
dropped	VBD
their	PRP$
sticks	NNS
and	CC
tried	VBD
to	TO
run.	VB
Panic	NNP
overtook	VBD
them,	,
and	CC
the	DT
next	JJ
moment	NN
all	PDT
the	DT
animals	NNS
together	RB
were	VBD
chasing	VBG
them	PRP
round	RB
and	CC
round	IN
the	DT
yard.	NN
They	PRP
were	VBD
gored,	VBN
kicked,	JJ
bitten,	,
trampled	VBN
on.	.
There	EX
was	VBD
not	RB
an	DT
animal	NN
on	IN
the	DT
farm	NN
that	WDT
did	VBD
not	RB
take	VB
vengeance	NN
on	IN
them	PRP
after	IN
his	PRP$
own	JJ
fashion.	NN
Even	RB
the	DT
cat	NN
suddenly	RB
leapt	VBD
off	IN
a	DT
roof	NN
onto	IN
a	DT
cowman's	NN
shoulders	NNS
and	CC
sank	VBD
her	PRP$
claws	NNS
in	IN
his	PRP$
neck,	NN
at	IN
which	WDT
he	PRP
yelled	VBD
horribly.	RB
At	IN
a	DT
moment	NN
when	WRB
the	DT
opening	NN
was	VBD
clear,	JJ
the	DT
men	NNS
were	VBD
glad	JJ
enough	RB
to	TO
rush	VB
out	IN
of	IN
the	DT
yard	NN
and	CC
make	VB
a	DT
bolt	NN
for	IN
the	DT
main	JJ
road.	NN
And	CC
so	RB
within	IN
five	CD
minutes	NNS
of	IN
their	PRP$
invasion	NN
they	PRP
were	VBD
in	IN
ignominious	JJ
retreat	NN
by	IN
the	DT
same	JJ
way	NN
as	IN
they	PRP
had	VBD
come,	VBN
with	IN
a	DT
flock	NN
of	IN
geese	NNS
hissing	VBG
after	IN
them	PRP
and	CC
pecking	VBG
at	IN
their	PRP$
calves	NNS
all	PDT
the	DT
way.	NN
All	PDT
the	DT
men	NNS
were	VBD
gone	VBN
except	IN
one.	.
Back	RB
in	IN
the	DT
yard	NN
Boxer	NNP
was	VBD
pawing	VBG
with	IN
his	PRP$
hoof	NN
at	IN
the	DT
stable-lad	NN
who	WP
lay	VBD
face	NN
down	RP
in	IN
the	DT
mud,	NN
trying	VBG
to	TO
turn	VB
him	PRP
over.	RP
The	DT
boy	NN
did	VBD
not	RB
stir.	VB
"He	``
is	VBZ
dead,"	JJ
said	VBD
Boxer	NNP
sorrowfully.	RB
"I	``
had	VBD
no	DT
intention	NN
of	IN
doing	VBG
that.	DT
I	PRP
forgot	VBD
that	IN
I	PRP
was	VBD
wearing	VBG
iron	NN
shoes.	NNS
Who	WP
will	MD
believe	VB
that	IN
I	PRP
did	VBD
not	RB
do	VB
this	DT
on	IN
purpose?"	NN
"No	``
sentimentality,	NN
comrade!"	''
cried	VBD
Snowball	NN
from	IN
whose	WP$
wounds	NNS
the	DT
blood	NN
was	VBD
still	RB
dripping.	VBN
"War	NN
is	VBZ
war.	NN
The	DT
only	JJ
good	JJ
human	JJ
being	NN
is	VBZ
a	DT
dead	JJ
one."	CD
"I	``
have	VBP
no	DT
wish	NN
to	TO
take	VB
life,	NN
not	RB
even	RB
human	JJ
life,"	NN
repeated	VBN
Boxer,	NNP
and	CC
his	PRP$
eyes	NNS
were	VBD
full	JJ
of	IN
tears.	NN
"Where	RB
is	VBZ
Mollie?"	NNP
exclaimed	VBD
somebody.	.
Mollie	NNP
in	IN
fact	NN
was	VBD
missing.	JJ
For	IN
a	DT
moment	NN
there	EX
was	VBD
great	JJ
alarm;	NN
it	PRP
was	VBD
feared	VBN
that	IN
the	DT
men	NNS
might	MD
have	VB
harmed	VBN
her	PRP
in	IN
some	DT
way,	NN
or	CC
even	RB
carried	VBD
her	PRP
off	RP
with	IN
them.	PRP
In	IN
the	DT
end,	NN
however,	RB
she	PRP
was	VBD
found	VBN
hiding	VBG
in	IN
her	PRP$
stall	NN
with	IN
her	PRP$
head	NN
buried	VBN
among	IN
the	DT
hay	NN
in	IN
the	DT
manger.	NN
She	PRP
had	VBD
taken	VBN
to	IN
flight	NN
as	RB
soon	RB
as	IN
the	DT
gun	NN
went	VBD
off.	RP
And	CC
when	WRB
the	DT
others	NNS
came	VBD
back	RB
from	IN
looking	VBG
for	IN
her,	NN
it	PRP
was	VBD
to	TO
find	VB
that	IN
the	DT
stable-lad,	NN
who	WP
in	IN
fact	NN
was	VBD
only	RB
stunned,	JJ
had	VBD
already	RB
recovered	VBN
and	CC
made	VBN
off.	RP
The	DT
animals	NNS
had	VBD
now	RB
reassembled	VBN
in	IN
the	DT
wildest	JJS
excitement,	NN
each	DT
recounting	VBG
his	PRP$
own	JJ
exploits	NNS
in	IN
the	DT
battle	NN
at	IN
the	DT
top	NN
of	IN
his	PRP$
voice.	NN
An	DT
impromptu	JJ
celebration	NN
of	IN
the	DT
victory	NN
was	VBD
held	VBN
immediately.	RB
The	DT
flag	NN
was	VBD
run	VBN
up	RP
and	CC
'Beasts	NNS
of	IN
England'	NNP
was	VBD
sung	VBN
a	DT
number	NN
of	IN
times,	NN
then	RB
the	DT
sheep	NNS
who	WP
had	VBD
been	VBN
killed	VBN
was	VBD
given	VBN
a	DT
solemn	JJ
funeral,	NN
a	DT
hawthorn	NN
bush	NN
being	VBG
planted	VBN
on	IN
her	PRP$
grave.	NN
At	IN
the	DT
graveside	NN
Snowball	NNP
made	VBD
a	DT
little	JJ
speech,	NN
emphasising	VBG
the	DT
need	NN
for	IN
all	DT
animals	NNS
to	TO
be	VB
ready	JJ
to	TO
die	VB
for	IN
Animal	NNP
Farm	NNP
if	IN
need	NN
be.	.
The	DT
animals	NNS
decided	VBD
unanimously	RB
to	TO
create	VB
a	DT
military	JJ
decoration,	NN
"Animal	``
Hero,	NNP
First	NNP
Class,"	NNP
which	WDT
was	VBD
conferred	VBN
there	RB
and	CC
then	RB
on	IN
Snowball	NNP
and	CC
Boxer.	NNP
It	PRP
consisted	VBD
of	IN
a	DT
brass	NN
medal	NN
(they	RB
were	VBD
really	RB
some	DT
old	JJ
horse-brasses	NNS
which	WDT
had	VBD
been	VBN
found	VBN
in	IN
the	DT
harness-room),	NN
to	TO
be	VB
worn	VBN
on	IN
Sundays	NNPS
and	CC
holidays.	NNS
There	EX
was	VBD
also	RB
"Animal	NNP
Hero,	NNP
Second	NNP
Class,"	NNP
which	WDT
was	VBD
conferred	VBN
posthumously	RB
on	IN
the	DT
dead	JJ
sheep.	NN
There	EX
was	VBD
much	JJ
discussion	NN
as	IN
to	IN
what	WP
the	DT
battle	NN
should	MD
be	VB
called.	VBN
In	IN
the	DT
end,	NN
it	PRP
was	VBD
named	VBN
the	DT
Battle	NNP
of	IN
the	DT
Cowshed,	NNP
since	IN
that	DT
was	VBD
where	WRB
the	DT
ambush	NN
had	VBD
been	VBN
sprung.	VBN
Mr.	NNP
Jones's	NNP
gun	NN
had	VBD
been	VBN
found	VBN
lying	VBG
in	IN
the	DT
mud,	NN
and	CC
it	PRP
was	VBD
known	VBN
that	IN
there	EX
was	VBD
a	DT
supply	NN
of	IN
cartridges	NNS
in	IN
the	DT
farmhouse.	NN
It	PRP
was	VBD
decided	VBN
to	TO
set	VB
the	DT
gun	NN
up	RP
at	IN
the	DT
foot	NN
of	IN
the	DT
Flagstaff,	NNP
like	IN
a	DT
piece	NN
of	IN
artillery,	NN
and	CC
to	TO
fire	VB
it	PRP
twice	RB
a	DT
year--once	NN
on	IN
October	NNP
the	DT
twelfth,	CD
the	DT
anniversary	NN
of	IN
the	DT
Battle	NNP
of	IN
the	DT
Cowshed,	NNP
and	CC
once	RB
on	IN
Midsummer	NNP
Day,	NNP
the	DT
anniversary	NN
of	IN
the	DT
Rebellion.	NNP
<h2>Chapter	NN
V</h2>	NN
As	IN
winter	NN
drew	VBD
on,	,
Mollie	NNP
became	VBD
more	RBR
and	CC
more	RBR
troublesome.	JJ
She	PRP
was	VBD
late	JJ
for	IN
work	NN
every	DT
morning	NN
and	CC
excused	VBD
herself	PRP
by	IN
saying	VBG
that	IN
she	PRP
had	VBD
overslept,	JJ
and	CC
she	PRP
complained	VBD
of	IN
mysterious	JJ
pains,	NN
although	IN
her	PRP$
appetite	NN
was	VBD
excellent.	JJ
On	IN
every	DT
kind	NN
of	IN
pretext	NN
she	PRP
would	MD
run	VB
away	RB
from	IN
work	NN
and	CC
go	VB
to	IN
the	DT
drinking	NN
pool,	NN
where	WRB
she	PRP
would	MD
stand	VB
foolishly	RB
gazing	VBG
at	IN
her	PRP$
own	JJ
reflection	NN
in	IN
the	DT
water.	NN
But	CC
there	EX
were	VBD
also	RB
rumours	NNS
of	IN
something	NN
more	RBR
serious.	JJ
One	CD
day,	NN
as	IN
Mollie	NNP
strolled	VBD
blithely	RB
into	IN
the	DT
yard,	NN
flirting	VBG
her	PRP$
long	JJ
tail	NN
and	CC
chewing	VBG
at	IN
a	DT
stalk	NN
of	IN
hay,	NN
Clover	NNP
took	VBD
her	PRP
aside.	RB
"Mollie,"	``
she	PRP
said,	VBD
"I	``
have	VB
something	NN
very	RB
serious	JJ
to	TO
say	VB
to	IN
you.	PRP
This	DT
morning	NN
I	PRP
saw	VBD
you	PRP
looking	VBG
over	IN
the	DT
hedge	NN
that	WDT
divides	VBZ
Animal	NNP
Farm	NNP
from	IN
Foxwood.	NNP
One	CD
of	IN
Mr.	NNP
Pilkington's	NNP
men	NNS
was	VBD
standing	VBG
on	IN
the	DT
other	JJ
side	NN
of	IN
the	DT
hedge.	NN
And--I	PRP
was	VBD
a	DT
long	JJ
way	NN
away,	RB
but	CC
I	PRP
am	VBP
almost	RB
certain	JJ
I	PRP
saw	VBD
this--he	PRP
was	VBD
talking	VBG
to	IN
you	PRP
and	CC
you	PRP
were	VBD
allowing	VBG
him	PRP
to	TO
stroke	VB
your	PRP$
nose.	NN
What	WP
does	VBZ
that	DT
mean,	VB
Mollie?"	NNP
"He	``
didn't!	VBD
I	PRP
wasn't!	VBP
It	PRP
isn't	VBZ
true!"	JJ
cried	VBD
Mollie,	NNP
beginning	VBG
to	TO
prance	VB
about	IN
and	CC
paw	VB
the	DT
ground.	NN
"Mollie!	FW
Look	VB
me	PRP
in	IN
the	DT
face.	NN
Do	VBP
you	PRP
give	VB
me	PRP
your	PRP$
word	NN
of	IN
honour	NN
that	IN
that	DT
man	NN
was	VBD
not	RB
stroking	VBG
your	PRP$
nose?"	NN
"It	``
isn't	PRP
true!"	JJ
repeated	VBN
Mollie,	NNP
but	CC
she	PRP
could	MD
not	RB
look	VB
Clover	NNP
in	IN
the	DT
face,	NN
and	CC
the	DT
next	JJ
moment	NN
she	PRP
took	VBD
to	IN
her	PRP$
heels	NNS
and	CC
galloped	VBD
away	RB
into	IN
the	DT
field.	NN
A	DT
thought	NN
struck	VBD
Clover.	NNP
Without	IN
saying	VBG
anything	NN
to	IN
the	DT
others,	JJ
she	PRP
went	VBD
to	IN
Mollie's	NNP
stall	NN
and	CC
turned	VBD
over	RP
the	DT
straw	NN
with	IN
her	PRP$
hoof.	NN
Hidden	VBN
under	IN
the	DT
straw	NN
was	VBD
a	DT
little	JJ
pile	NN
of	IN
lump	NN
sugar	NN
and	CC
several	JJ
bunches	NNS
of	IN
ribbon	NN
of	IN
different	JJ
colours.	NN
Three	CD
days	NNS
later	RBR
Mollie	NNP
disappeared.	VBD
For	IN
some	DT
weeks	NNS
nothing	NN
was	VBD
known	VBN
of	IN
her	PRP
whereabouts,	WRB
then	RB
the	DT
pigeons	NNS
reported	VBD
that	IN
they	PRP
had	VBD
seen	VBN
her	PRP
on	IN
the	DT
other	JJ
side	NN
of	IN
Willingdon.	NNP
She	PRP
was	VBD
between	IN
the	DT
shafts	NNS
of	IN
a	DT
smart	JJ
dogcart	NN
painted	VBN
red	JJ
and	CC
black,	NN
which	WDT
was	VBD
standing	VBG
outside	IN
a	DT
public-house.	NN
A	DT
fat	JJ
red-faced	JJ
man	NN
in	IN
check	NN
breeches	NNS
and	CC
gaiters,	NN
who	WP
looked	VBD
like	IN
a	DT
publican,	NN
was	VBD
stroking	VBG
her	PRP$
nose	NN
and	CC
feeding	VBG
her	PRP
with	IN
sugar.	NN
Her	PRP$
coat	NN
was	VBD
newly	RB
clipped	VBN
and	CC
she	PRP
wore	VBD
a	DT
scarlet	JJ
ribbon	NN
round	IN
her	PRP$
forelock.	NN
She	PRP
appeared	VBD
to	TO
be	VB
enjoying	VBG
herself,	NN
so	IN
the	DT
pigeons	NNS
said.	VBD
None	NN
of	IN
the	DT
animals	NNS
ever	RB
mentioned	VBD
Mollie	NNP
again.	RB
In	IN
January	NNP
there	EX
came	VBD
bitterly	RB
hard	JJ
weather.	NN
The	DT
earth	NN
was	VBD
like	IN
iron,	NN
and	CC
nothing	NN
could	MD
be	VB
done	VBN
in	IN
the	DT
fields.	NN
Many	JJ
meetings	NNS
were	VBD
held	VBN
in	IN
the	DT
big	JJ
barn,	NN
and	CC
the	DT
pigs	NNS
occupied	VBD
themselves	PRP
with	IN
planning	VBG
out	RP
the	DT
work	NN
of	IN
the	DT
coming	VBG
season.	NN
It	PRP
had	VBD
come	VBN
to	TO
be	VB
accepted	VBN
that	IN
the	DT
pigs,	NN
who	WP
were	VBD
manifestly	RB
cleverer	JJR
than	IN
the	DT
other	JJ
animals,	NN
should	MD
decide	VB
all	DT
questions	NNS
of	IN
farm	NN
policy,	NN
though	IN
their	PRP$
decisions	NNS
had	VBD
to	TO
be	VB
ratified	VBN
by	IN
a	DT
majority	NN
vote.	NN
This	DT
arrangement	NN
would	MD
have	VB
worked	VBN
well	RB
enough	RB
if	IN
it	PRP
had	VBD
not	RB
been	VBN
for	IN
the	DT
disputes	NNS
between	IN
Snowball	NNP
and	CC
Napoleon.	NNP
These	DT
two	CD
disagreed	VBD
at	IN
every	DT
point	NN
where	WRB
disagreement	NN
was	VBD
possible.	JJ
If	IN
one	CD
of	IN
them	PRP
suggested	VBD
sowing	VBG
a	DT
bigger	JJR
acreage	NN
with	IN
barley,	NN
the	DT
other	JJ
was	VBD
certain	JJ
to	TO
demand	VB
a	DT
bigger	JJR
acreage	NN
of	IN
oats,	NN
and	CC
if	IN
one	CD
of	IN
them	PRP
said	VBD
that	IN
such	JJ
and	CC
such	PDT
a	DT
field	NN
was	VBD
just	RB
right	JJ
for	IN
cabbages,	NN
the	DT
other	JJ
would	MD
declare	VB
that	IN
it	PRP
was	VBD
useless	JJ
for	IN
anything	NN
except	IN
roots.	NN
Each	DT
had	VBD
his	PRP$
own	JJ
following,	NN
and	CC
there	EX
were	VBD
some	DT
violent	JJ
debates.	NN
At	IN
the	DT
Meetings	NNPS
Snowball	NNP
often	RB
won	VBD
over	RP
the	DT
majority	NN
by	IN
his	PRP$
brilliant	JJ
speeches,	NN
but	CC
Napoleon	NNP
was	VBD
better	JJR
at	IN
canvassing	VBG
support	NN
for	IN
himself	PRP
in	IN
between	IN
times.	NNS
He	PRP
was	VBD
especially	RB
successful	JJ
with	IN
the	DT
sheep.	NN
Of	IN
late	RB
the	DT
sheep	NNS
had	VBD
taken	VBN
to	IN
bleating	VBG
"Four	CD
legs	NNS
good,	JJ
two	CD
legs	NNS
bad"	JJ
both	CC
in	IN
and	CC
out	IN
of	IN
season,	NN
and	CC
they	PRP
often	RB
interrupted	VBD
the	DT
Meeting	NN
with	IN
this.	DT
It	PRP
was	VBD
noticed	VBN
that	IN
they	PRP
were	VBD
especially	RB
liable	JJ
to	TO
break	VB
into	IN
"Four	CD
legs	NNS
good,	JJ
two	CD
legs	NNS
bad"	VB
at	IN
crucial	JJ
moments	NNS
in	IN
Snowball's	NNP
speeches.	NN
Snowball	NN
had	VBD
made	VBN
a	DT
close	JJ
study	NN
of	IN
some	DT
back	JJ
numbers	NNS
of	IN
the	DT
'Farmer	NNP
and	CC
Stockbreeder'	NNP
which	WDT
he	PRP
had	VBD
found	VBN
in	IN
the	DT
farmhouse,	NN
and	CC
was	VBD
full	JJ
of	IN
plans	NNS
for	IN
innovations	NNS
and	CC
improvements.	NN
He	PRP
talked	VBD
learnedly	RB
about	IN
field	NN
drains,	NN
silage,	NN
and	CC
basic	JJ
slag,	NN
and	CC
had	VBD
worked	VBN
out	RP
a	DT
complicated	JJ
scheme	NN
for	IN
all	PDT
the	DT
animals	NNS
to	TO
drop	VB
their	PRP$
dung	NN
directly	RB
in	IN
the	DT
fields,	NN
at	IN
a	DT
different	JJ
spot	NN
every	DT
day,	NN
to	TO
save	VB
the	DT
labour	NN
of	IN
cartage.	NN
Napoleon	NNP
produced	VBD
no	DT
schemes	NNS
of	IN
his	PRP$
own,	NN
but	CC
said	VBD
quietly	RB
that	IN
Snowball's	NNP
would	MD
come	VB
to	IN
nothing,	NN
and	CC
seemed	VBD
to	TO
be	VB
biding	VBG
his	PRP$
time.	NN
But	CC
of	IN
all	PDT
their	PRP$
controversies,	JJ
none	NN
was	VBD
so	RB
bitter	JJ
as	IN
the	DT
one	NN
that	WDT
took	VBD
place	NN
over	IN
the	DT
windmill.	NN
In	IN
the	DT
long	JJ
pasture,	NN
not	RB
far	RB
from	IN
the	DT
farm	NN
buildings,	NN
there	EX
was	VBD
a	DT
small	JJ
knoll	NN
which	WDT
was	VBD
the	DT
highest	JJS
point	NN
on	IN
the	DT
farm.	NN
After	IN
surveying	VBG
the	DT
ground,	NN
Snowball	NNP
declared	VBD
that	IN
this	DT
was	VBD
just	RB
the	DT
place	NN
for	IN
a	DT
windmill,	NN
which	WDT
could	MD
be	VB
made	VBN
to	TO
operate	VB
a	DT
dynamo	NN
and	CC
supply	VB
the	DT
farm	NN
with	IN
electrical	JJ
power.	NN
This	DT
would	MD
light	VB
the	DT
stalls	NNS
and	CC
warm	VB
them	PRP
in	IN
winter,	NN
and	CC
would	MD
also	RB
run	VB
a	DT
circular	JJ
saw,	NN
a	DT
chaff-cutter,	NN
a	DT
mangel-slicer,	NN
and	CC
an	DT
electric	JJ
milking	NN
machine.	NN
The	DT
animals	NNS
had	VBD
never	RB
heard	VBN
of	IN
anything	NN
of	IN
this	DT
kind	NN
before	RB
(for	IN
the	DT
farm	NN
was	VBD
an	DT
old-fashioned	JJ
one	NN
and	CC
had	VBD
only	RB
the	DT
most	RBS
primitive	JJ
machinery),	NN
and	CC
they	PRP
listened	VBD
in	IN
astonishment	NN
while	IN
Snowball	NNP
conjured	VBD
up	RP
pictures	NNS
of	IN
fantastic	JJ
machines	NNS
which	WDT
would	MD
do	VB
their	PRP$
work	NN
for	IN
them	PRP
while	IN
they	PRP
grazed	VBD
at	IN
their	PRP$
ease	NN
in	IN
the	DT
fields	NNS
or	CC
improved	VBD
their	PRP$
minds	NNS
with	IN
reading	NN
and	CC
conversation.	NN
Within	IN
a	DT
few	JJ
weeks	NNS
Snowball's	NNP
plans	NNS
for	IN
the	DT
windmill	NN
were	VBD
fully	RB
worked	VBN
out.	RP
The	DT
mechanical	JJ
details	NNS
came	VBD
mostly	RB
from	IN
three	CD
books	NNS
which	WDT
had	VBD
belonged	VBN
to	IN
Mr.	NNP
Jones--'One	NNP
Thousand	CD
Useful	JJ
Things	NNS
to	TO
Do	VB
About	IN
the	DT
House',	NN
'Every	POS
Man	NNP
His	PRP$
Own	JJ
